TRI Facility Name,TRI Facility ID,Year,Census Tract,3-Mile Population,Under Age 5 Percentile,Over Age 64 Percentile,Unemployment Rate Percentile,Limited English Speaking Percentile,Less Than High School Education Percentile,ZIP Code,Street Address,City,County,Latitude,Longitude,Chemical,Industry Sector,NAICS Code,Parent Company,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Hazard,Number of Source Reduction Activities
INTERTAPE POLYMER GROUP,48040MRCNT317KE,2024,26147637300,"12,121",35,36,42,83,58,48040,317 KENDALL AVE,"MARYSVILLE, MI","ST. CLAIR, MI",42.88498842,-82.48264865,Toluene (108-88-3),322 Paper,322220 Paper Bag and Coated Treated Paper Manufacturing,INTERTAPE POLYMER GROUP,"637,340.00","637,340.00",0.00,0.00,0.00,"8,583,552.00","446,138",0
DTE ELECTRIC CO-BELLE RIVER POWER PLANT,48054DTRTD4505K,2024,26147641000,"5,092",31,81,78,0,49,48054,4505 KING RD,"CHINA TOWNSHIP, MI","ST. CLAIR, MI",42.77569325,-82.51235737,Barium compounds (N040),2211 Electric Utilities,221112 Fossil Fuel Electric Power Generation,DTE ENERGY CO,"631,790.00",690.00,"1,100.00","630,000.00",0.00,"631,800.00","7,985,500",0
WAYNE DISPOSAL INC,48111WYNDS49350,2024,26163986501,"28,882",0,0,0,0,0,48111,49350 N I-94 SERVICE DR,"BELLEVILLE, MI","WAYNE, MI",42.21950635,-83.52417321,Polychlorinated biphenyls (PCBs) (1336-36-3),562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,REPUBLIC SERVICES INC,"583,811.63",0.63,0.00,"583,811.00",0.00,"583,811.63","1,167,622,226,800",0
HB FULLER CO,49504HBFLL2727K,2024,26081011601,"22,168",37,37,34,0,19,49534,2727 KINNEY AVE NW,"GRAND RAPIDS, MI","KENT, MI",43.0145176,-85.76817297,Diisocyanates (N120),325 Chemicals,325520 Adhesive Manufacturing,HB FULLER CO,"541,480.00",0.00,0.00,0.00,"541,480.00","541,480.00","189,518,000,112",0
KOPPERS PERFORMANCE CHEMICALS,49934PNNSL1700D,2024,26061000400,"2,869",42,77,64,0,32,49934,52430 DUNCAN AVE,"HUBBELL, MI","HOUGHTON, MI",47.17604982,-88.4248479,Ammonia (7664-41-7),325 Chemicals,325180 Other Basic Inorganic Chemical Manufacturing,KOPPERS INC,"523,423.00","523,423.00",0.00,0.00,0.00,"523,423.00","3,663,961",0
WAYNE DISPOSAL INC,48111WYNDS49350,2024,26163986501,"28,882",0,0,0,0,0,48111,49350 N I-94 SERVICE DR,"BELLEVILLE, MI","WAYNE, MI",42.21950635,-83.52417321,Copper compounds (N100),562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,REPUBLIC SERVICES INC,"498,407.33",1.96,0.00,"498,399.00",6.37,"498,407.33","747,610,995",0
REAL ALLOY RECYCLING LLC,49036MCRCY267NO,2024,26023951600,"12,956",83,35,63,66,40,49036,267 N FILLMORE RD,"COLDWATER, MI","BRANCH, MI",41.92249326,-85.02338943,Aluminum (fume or dust) (7429-90-5),331 Primary Metals,331314 Secondary Smelting and Alloying of Aluminum,REAL ALLOY HOLDING LLC,"480,383.00","42,558.00",0.00,0.00,"437,825.00","480,383.00","336,268,100",0
WAYNE DISPOSAL INC,48111WYNDS49350,2024,26163986501,"28,882",0,0,0,0,0,48111,49350 N I-94 SERVICE DR,"BELLEVILLE, MI","WAYNE, MI",42.21950635,-83.52417321,Chromium compounds (N090),562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,REPUBLIC SERVICES INC,"453,264.75",2.21,0.00,"453,262.00",0.54,"453,264.75","23,279,241,902",0
BREMBO HOMER FOUNDRY,4924WBRMBH62593,2024,26075006403,"1,014",62,76,71,0,70,49245,6259 30 MILE ROAD,"HOMER, MI","CALHOUN, MI",42.10786532,-84.71024022,Manganese compounds (N450),331 Primary Metals,331511 Iron Foundries,BREMBO NORTH AMERICA INC,"376,459.00",201.00,0.00,0.00,"376,258.00","379,085.00","4,517,508,000",0
GM TRUCK GROUP FLINT ASSEMBLY PLANT,48551GMCTRG3100,2024,26049980000,"51,226",0,0,0,0,0,48551,G-3100 VAN SLYKE RD,"FLINT, MI","GENESEE, MI",42.96697513,-83.71257194,Certain glycol ethers (N230),336 Transportation Equipment,336110 Automobile and Light Duty Motor Vehicle Manufacturing,GENERAL MOTORS LLC,"350,210.00","350,000.00",0.00,0.00,210.00,"412,590.00","63,042,000",0
